Time,Source,Destination,Protocol,Length,CIP,CIP CM,CIP I/O,ENIP,GVCP,NBNS,SSDP,TCP,Safe
0,0,2.82E-08,TCP,0,0,0,0,0,0,0,0,1,0
0.000314121,0.152284264,0.743464627,CIP I/O,0.026134801,0,0,1,0,0,0,0,0,0
0.001226768,0.101522843,9.41E-09,CIP I/O,0.017881706,0,0,1,0,0,0,0,0,0
0.001819635,0.050761421,1.88E-08,CIP I/O,0.017881706,0,0,1,0,0,0,0,0,0
0.002565318,0.101522843,0.743464326,CIP I/O,0.026134801,0,0,1,0,0,0,0,0,0
0.002603522,0.203045685,0.743464928,CIP I/O,0.026134801,0,0,1,0,0,0,0,0,0
0.002769072,0.203045685,9.41E-09,CIP,0.057771664,1,0,0,0,0,0,0,0,0
0.002916227,0.203045685,2.82E-08,CIP,0.038514443,1,0,0,0,0,0,0,0,0
0.002916227,0.050761421,3.76E-08,TCP,0,0,0,0,0,0,0,0,1,0
0.002917642,0.203045685,2.82E-08,CIP I/O,0.017881706,0,0,1,0,0,0,0,0,0
0.003044989,0,3.76E-08,CIP I/O,0.017881706,0,0,1,0,0,0,0,0,0
0.003046404,0.152284264,3.76E-08,TCP,0,0,0,0,0,0,0,0,1,0
0.003047818,0.203045685,2.82E-08,CIP,0.038514443,1,0,0,0,0,0,0,0,0
0.003200634,0.050761421,3.76E-08,CIP,0.038514443,1,0,0,0,0,0,0,0,0
0.003200634,0.050761421,3.76E-08,CIP,0.038514443,1,0,0,0,0,0,0,0,0
0.003202049,0.152284264,3.76E-08,TCP,0,0,0,0,0,0,0,0,1,0
0.00332515,0.253807107,0,CIP I/O,0.017881706,0,0,1,0,0,0,0,0,0
0.00332515,0.203045685,9.41E-09,TCP,0,0,0,0,0,0,0,0,1,0
0.003326565,0.964467005,1.85E-07,TCP,0.423658872,0,0,0,0,0,0,0,1,0
0.003326565,0.203045685,9.41E-09,TCP,0,0,0,0,0,0,0,0,1,0
0.003492115,0.050761421,1.79E-07,CIP,0.367262724,1,0,0,0,0,0,0,0,0
0.003807651,0.203045685,9.41E-09,CIP,0.057771664,1,0,0,0,0,0,0,0,0
0.003918017,0.101522843,1.79E-07,CIP,0.367262724,1,0,0,0,0,0,0,0,0
